Date,JobOpeningRate,UnemploymentRate,Year,Month
12/1/2000,3.7,3.9,2000,Dec
1/1/2001,3.8,4.2,2001,Jan
2/1/2001,3.7,4.2,2001,Feb
3/1/2001,3.5,4.3,2001,Mar
4/1/2001,3.4,4.4,2001,Apr
5/1/2001,3.2,4.3,2001,May
6/1/2001,3.2,4.5,2001,Jun
7/1/2001,3.3,4.6,2001,Jul
8/1/2001,3,4.9,2001,Aug
9/1/2001,3,5,2001,Sep
10/1/2001,2.7,5.3,2001,Oct
11/1/2001,2.8,5.5,2001,Nov
12/1/2001,2.7,5.7,2001,Dec
1/1/2002,2.7,5.7,2002,Jan
2/1/2002,2.6,5.7,2002,Feb
3/1/2002,2.7,5.7,2002,Mar
4/1/2002,2.6,5.9,2002,Apr
5/1/2002,2.6,5.8,2002,May
6/1/2002,2.5,5.8,2002,Jun
7/1/2002,2.5,5.8,2002,Jul
8/1/2002,2.6,5.7,2002,Aug
9/1/2002,2.5,5.7,2002,Sep
10/1/2002,2.6,5.7,2002,Oct
11/1/2002,2.6,5.9,2002,Nov
12/1/2002,2.4,6,2002,Dec
1/1/2003,2.6,5.8,2003,Jan
2/1/2003,2.4,5.9,2003,Feb
3/1/2003,2.3,5.9,2003,Mar
4/1/2003,2.3,6,2003,Apr
5/1/2003,2.5,6.1,2003,May
6/1/2003,2.5,6.3,2003,Jun
7/1/2003,2.2,6.2,2003,Jul
8/1/2003,2.4,6.1,2003,Aug
9/1/2003,2.3,6.1,2003,Sep
10/1/2003,2.5,6,2003,Oct
11/1/2003,2.5,5.8,2003,Nov
12/1/2003,2.5,5.7,2003,Dec
1/1/2004,2.6,5.7,2004,Jan
2/1/2004,2.6,5.6,2004,Feb
3/1/2004,2.6,5.8,2004,Mar
4/1/2004,2.6,5.6,2004,Apr
5/1/2004,2.7,5.6,2004,May
6/1/2004,2.5,5.6,2004,Jun
7/1/2004,2.8,5.5,2004,Jul
8/1/2004,2.6,5.4,2004,Aug
9/1/2004,2.8,5.4,2004,Sep
10/1/2004,2.9,5.5,2004,Oct
11/1/2004,2.6,5.4,2004,Nov
12/1/2004,3,5.4,2004,Dec
1/1/2005,2.8,5.3,2005,Jan
2/1/2005,2.9,5.4,2005,Feb
3/1/2005,2.9,5.2,2005,Mar
4/1/2005,3,5.2,2005,Apr
5/1/2005,2.8,5.1,2005,May
6/1/2005,2.9,5,2005,Jun
7/1/2005,3.1,5,2005,Jul
8/1/2005,3,4.9,2005,Aug
9/1/2005,3.1,5,2005,Sep
10/1/2005,3,5,2005,Oct
11/1/2005,3.1,5,2005,Nov
12/1/2005,3.1,4.9,2005,Dec
1/1/2006,3.1,4.7,2006,Jan
2/1/2006,3.1,4.8,2006,Feb
3/1/2006,3.4,4.7,2006,Mar
4/1/2006,3.4,4.7,2006,Apr
5/1/2006,3.2,4.6,2006,May
6/1/2006,3.3,4.6,2006,Jun
7/1/2006,3.1,4.7,2006,Jul
8/1/2006,3.3,4.7,2006,Aug
9/1/2006,3.3,4.5,2006,Sep
10/1/2006,3.2,4.4,2006,Oct
11/1/2006,3.3,4.5,2006,Nov
12/1/2006,3.3,4.4,2006,Dec
1/1/2007,3.3,4.6,2007,Jan
2/1/2007,3.3,4.5,2007,Feb
3/1/2007,3.5,4.4,2007,Mar
4/1/2007,3.3,4.5,2007,Apr
5/1/2007,3.3,4.4,2007,May
6/1/2007,3.4,4.6,2007,Jun
7/1/2007,3.2,4.7,2007,Jul
8/1/2007,3.2,4.6,2007,Aug
9/1/2007,3.3,4.7,2007,Sep
10/1/2007,3.2,4.7,2007,Oct
11/1/2007,3.3,4.7,2007,Nov
12/1/2007,3.2,5,2007,Dec
1/1/2008,3.2,5,2008,Jan
2/1/2008,3,4.9,2008,Feb
3/1/2008,3,5.1,2008,Mar
4/1/2008,2.8,5,2008,Apr
5/1/2008,3,5.4,2008,May
6/1/2008,2.7,5.6,2008,Jun
7/1/2008,2.7,5.8,2008,Jul
8/1/2008,2.6,6.1,2008,Aug
9/1/2008,2.3,6.1,2008,Sep
10/1/2008,2.4,6.5,2008,Oct
11/1/2008,2.3,6.8,2008,Nov
12/1/2008,2.3,7.3,2008,Dec
1/1/2009,2,7.8,2009,Jan
2/1/2009,2.1,8.3,2009,Feb
3/1/2009,1.9,8.7,2009,Mar
4/1/2009,1.7,9,2009,Apr
5/1/2009,1.9,9.4,2009,May
6/1/2009,1.9,9.5,2009,Jun
7/1/2009,1.7,9.5,2009,Jul
8/1/2009,1.8,9.6,2009,Aug
9/1/2009,1.9,9.8,2009,Sep
10/1/2009,1.8,10,2009,Oct
11/1/2009,1.9,9.9,2009,Nov
12/1/2009,1.9,9.9,2009,Dec
1/1/2010,2.1,9.8,2010,Jan
2/1/2010,2,9.8,2010,Feb
3/1/2010,2,9.9,2010,Mar
4/1/2010,2.4,9.9,2010,Apr
5/1/2010,2.2,9.6,2010,May
6/1/2010,2.1,9.4,2010,Jun
7/1/2010,2.3,9.4,2010,Jul
8/1/2010,2.2,9.5,2010,Aug
9/1/2010,2.2,9.5,2010,Sep
10/1/2010,2.4,9.4,2010,Oct
11/1/2010,2.4,9.8,2010,Nov
12/1/2010,2.3,9.3,2010,Dec
1/1/2011,2.3,9.1,2011,Jan
2/1/2011,2.4,9,2011,Feb
3/1/2011,2.4,9,2011,Mar
4/1/2011,2.4,9.1,2011,Apr
5/1/2011,2.4,9,2011,May
6/1/2011,2.6,9.1,2011,Jun
7/1/2011,2.7,9,2011,Jul
8/1/2011,2.5,9,2011,Aug
9/1/2011,2.8,9,2011,Sep
10/1/2011,2.7,8.8,2011,Oct
11/1/2011,2.6,8.6,2011,Nov
12/1/2011,2.8,8.5,2011,Dec
1/1/2012,2.8,8.3,2012,Jan
2/1/2012,2.6,8.3,2012,Feb
3/1/2012,2.9,8.2,2012,Mar
4/1/2012,2.8,8.2,2012,Apr
5/1/2012,2.8,8.2,2012,May
6/1/2012,2.8,8.2,2012,Jun
7/1/2012,2.7,8.2,2012,Jul
8/1/2012,2.8,8.1,2012,Aug
9/1/2012,2.8,7.8,2012,Sep
10/1/2012,2.7,7.8,2012,Oct
11/1/2012,2.8,7.7,2012,Nov
12/1/2012,2.9,7.9,2012,Dec
1/1/2013,2.8,8,2013,Jan
2/1/2013,2.9,7.7,2013,Feb
3/1/2013,2.9,7.5,2013,Mar
4/1/2013,2.9,7.6,2013,Apr
5/1/2013,3,7.5,2013,May
6/1/2013,3,7.5,2013,Jun
7/1/2013,2.8,7.3,2013,Jul
8/1/2013,2.9,7.2,2013,Aug
9/1/2013,2.9,7.2,2013,Sep
10/1/2013,3,7.2,2013,Oct
11/1/2013,2.9,6.9,2013,Nov
12/1/2013,2.9,6.7,2013,Dec
1/1/2014,2.9,6.6,2014,Jan
2/1/2014,3.1,6.7,2014,Feb
3/1/2014,3.1,6.7,2014,Mar
4/1/2014,3.2,6.2,2014,Apr
5/1/2014,3.3,6.3,2014,May
6/1/2014,3.5,6.1,2014,Jun
7/1/2014,3.4,6.2,2014,Jul
8/1/2014,3.7,6.1,2014,Aug
9/1/2014,3.4,5.9,2014,Sep
10/1/2014,3.5,5.7,2014,Oct
11/1/2014,3.3,5.8,2014,Nov
12/1/2014,3.5,5.6,2014,Dec
1/1/2015,3.7,5.7,2015,Jan
2/1/2015,3.7,5.5,2015,Feb
3/1/2015,3.6,5.4,2015,Mar
4/1/2015,3.8,5.4,2015,Apr
5/1/2015,3.8,5.6,2015,May
6/1/2015,3.6,5.3,2015,Jun
7/1/2015,4.1,5.2,2015,Jul
8/1/2015,3.7,5.1,2015,Aug
9/1/2015,3.7,5,2015,Sep
10/1/2015,3.9,5,2015,Oct
11/1/2015,3.8,5.1,2015,Nov
12/1/2015,3.9,5,2015,Dec
1/1/2016,4,4.8,2016,Jan
2/1/2016,3.9,4.9,2016,Feb
3/1/2016,4.1,5,2016,Mar
4/1/2016,3.9,5.1,2016,Apr
5/1/2016,3.9,4.8,2016,May
6/1/2016,3.8,4.9,2016,Jun
7/1/2016,4,4.8,2016,Jul
8/1/2016,3.8,4.9,2016,Aug
9/1/2016,3.9,5,2016,Sep
10/1/2016,3.7,4.9,2016,Oct
11/1/2016,4,4.7,2016,Nov
12/1/2016,3.9,4.7,2016,Dec
1/1/2017,3.7,4.7,2017,Jan
2/1/2017,3.9,4.6,2017,Feb
3/1/2017,3.8,4.4,2017,Mar
4/1/2017,4,4.4,2017,Apr
5/1/2017,3.8,4.4,2017,May
6/1/2017,4.1,4.3,2017,Jun
7/1/2017,4.1,4.3,2017,Jul
8/1/2017,4.1,4.4,2017,Aug
9/1/2017,4.1,4.3,2017,Sep
10/1/2017,4.2,4.2,2017,Oct
11/1/2017,4.1,4.2,2017,Nov
12/1/2017,4.1,4.1,2017,Dec
1/1/2018,4.3,4,2018,Jan
2/1/2018,4.2,4.1,2018,Feb
3/1/2018,4.4,4,2018,Mar
4/1/2018,4.4,4,2018,Apr
5/1/2018,4.5,3.8,2018,May
6/1/2018,4.6,4,2018,Jun
7/1/2018,4.6,3.8,2018,Jul
8/1/2018,4.6,3.8,2018,Aug
9/1/2018,4.7,3.7,2018,Sep
10/1/2018,4.7,3.8,2018,Oct
11/1/2018,4.8,3.8,2018,Nov
12/1/2018,4.8,3.9,2018,Dec
1/1/2019,4.8,4,2019,Jan
2/1/2019,4.5,3.8,2019,Feb
3/1/2019,4.6,3.8,2019,Mar
4/1/2019,4.6,3.7,2019,Apr
5/1/2019,4.6,3.6,2019,May
6/1/2019,4.6,3.6,2019,Jun
7/1/2019,4.5,3.7,2019,Jul
8/1/2019,4.5,3.6,2019,Aug
9/1/2019,4.5,3.5,2019,Sep
10/1/2019,4.6,3.6,2019,Oct
11/1/2019,4.3,3.6,2019,Nov
12/1/2019,4.2,3.6,2019,Dec
1/1/2020,4.5,3.6,2020,Jan
2/1/2020,4.4,3.5,2020,Feb
3/1/2020,3.8,4.4,2020,Mar
4/1/2020,3.4,14.8,2020,Apr
5/1/2020,4,13.2,2020,May
6/1/2020,4.3,11,2020,Jun
7/1/2020,4.5,10.2,2020,Jul
8/1/2020,4.3,8.4,2020,Aug
9/1/2020,4.4,7.8,2020,Sep
10/1/2020,4.6,6.9,2020,Oct
11/1/2020,4.6,6.7,2020,Nov
12/1/2020,4.5,6.7,2020,Dec
1/1/2021,4.8,6.4,2021,Jan
2/1/2021,5.2,6.2,2021,Feb
3/1/2021,5.6,6.1,2021,Mar
4/1/2021,6,6.1,2021,Apr
5/1/2021,6.4,5.8,2021,May
6/1/2021,6.6,5.9,2021,Jun
7/1/2021,7,5.4,2021,Jul
8/1/2021,6.9,5.1,2021,Aug
9/1/2021,6.9,4.7,2021,Sep
10/1/2021,7.1,4.5,2021,Oct
11/1/2021,7,4.2,2021,Nov
12/1/2021,7.1,3.9,2021,Dec
1/1/2022,7,4,2022,Jan
2/1/2022,7.2,3.8,2022,Feb
3/1/2022,7.4,3.7,2022,Mar
4/1/2022,7.2,3.7,2022,Apr
5/1/2022,7,3.6,2022,May
6/1/2022,6.9,3.6,2022,Jun
7/1/2022,7,3.5,2022,Jul
8/1/2022,6.2,3.6,2022,Aug
9/1/2022,6.6,3.5,2022,Sep
10/1/2022,6.4,3.6,2022,Oct
11/1/2022,6.5,3.6,2022,Nov
12/1/2022,6.7,3.5,2022,Dec
1/1/2023,6.3,3.5,2023,Jan
2/1/2023,6,3.6,2023,Feb
3/1/2023,5.8,3.5,2023,Mar
4/1/2023,6,3.4,2023,Apr
5/1/2023,5.6,3.6,2023,May
6/1/2023,5.5,3.6,2023,Jun
7/1/2023,5.3,3.5,2023,Jul
8/1/2023,5.6,3.7,2023,Aug
9/1/2023,5.6,3.8,2023,Sep
10/1/2023,5.2,3.9,2023,Oct
11/1/2023,5.4,3.7,2023,Nov
12/1/2023,5.3,3.8,2023,Dec
1/1/2024,5.3,3.7,2024,Jan
2/1/2024,5.3,3.9,2024,Feb
3/1/2024,5,3.9,2024,Mar
4/1/2024,4.8,3.9,2024,Apr
5/1/2024,4.9,4,2024,May
6/1/2024,4.8,4.1,2024,Jun
7/1/2024,4.6,4.2,2024,Jul
8/1/2024,4.7,4.2,2024,Aug
9/1/2024,4.4,4.1,2024,Sep
10/1/2024,4.7,4.1,2024,Oct
11/1/2024,4.9,4.2,2024,Nov
